Date,Average Block Time
2015-07-30,4.46
2015-07-31,12.58
2015-08-01,16.34
2015-08-02,16.12
2015-08-03,16.37
2015-08-04,16.1
2015-08-05,16.51
2015-08-06,16.89
2015-08-07,16.65
2015-08-08,16.44
2015-08-09,16.86
2015-08-10,16.44
2015-08-11,16.37
2015-08-12,16.86
2015-08-13,16.34
2015-08-14,14.88
2015-08-15,16.04
2015-08-16,16.84
2015-08-17,16.16
2015-08-18,17.46
2015-08-19,16.64
2015-08-20,21.47
2015-08-21,16.98
2015-08-22,16.39
2015-08-23,17.24
2015-08-24,16.67
2015-08-25,16.95
2015-08-26,17.27
2015-08-27,18.35
2015-08-28,18.57
2015-08-29,19.93
2015-08-30,20.77
2015-08-31,20.87
2015-09-01,21.86
2015-09-02,24.12
2015-09-03,25.53
2015-09-04,19.3
2015-09-05,17.48
2015-09-06,17.19
2015-09-07,17.77
2015-09-08,17.46
2015-09-09,17.12
2015-09-10,17.18
2015-09-11,16.71
2015-09-12,17.11
2015-09-13,17.25
2015-09-14,17.61
2015-09-15,17.75
2015-09-16,17.32
2015-09-17,17.91
2015-09-18,17.57
2015-09-19,16.9
2015-09-20,16.04
2015-09-21,16.87
2015-09-22,17
2015-09-23,16.58
2015-09-24,17.1
2015-09-25,16.73
2015-09-26,17.32
2015-09-27,17.92
2015-09-28,18.02
2015-09-29,18.51
2015-09-30,18.04
2015-10-01,16.45
2015-10-02,16.62
2015-10-03,16.84
2015-10-04,17.47
2015-10-05,17.05
2015-10-06,17.67
2015-10-07,17.09
2015-10-08,16.6
2015-10-09,17.45
2015-10-10,17.44
2015-10-11,16.91
2015-10-12,16.48
2015-10-13,16.76
2015-10-14,17.3
2015-10-15,17.39
2015-10-16,17.56
2015-10-17,16.86
2015-10-18,17.28
2015-10-19,17.29
2015-10-20,17.2
2015-10-21,17.22
2015-10-22,17.78
2015-10-23,16.26
2015-10-24,16.52
2015-10-25,16.74
2015-10-26,17.52
2015-10-27,16.5
2015-10-28,17.33
2015-10-29,16.64
2015-10-30,16.3
2015-10-31,16.65
2015-11-01,16.54
2015-11-02,17.04
2015-11-03,16.83
2015-11-04,16.79
2015-11-05,16.85
2015-11-06,16.56
2015-11-07,17.27
2015-11-08,17.02
2015-11-09,17
2015-11-10,16.92
2015-11-11,17.08
2015-11-12,16.84
2015-11-13,16.63
2015-11-14,16.64
2015-11-15,16.52
2015-11-16,16.97
2015-11-17,16.54
2015-11-18,16.81
2015-11-19,17.04
2015-11-20,18.1
2015-11-21,16.97
2015-11-22,16.9
2015-11-23,16.65
2015-11-24,17.21
2015-11-25,17.37
2015-11-26,17.36
2015-11-27,16.5
2015-11-28,16.96
2015-11-29,16.84
2015-11-30,16.75
2015-12-01,16.92
2015-12-02,17.86
2015-12-03,16.46
2015-12-04,17.09
2015-12-05,17.07
2015-12-06,17.42
2015-12-07,17.18
2015-12-08,17.39
2015-12-09,16.46
2015-12-10,16.71
2015-12-11,16.93
2015-12-12,16.82
2015-12-13,16.29
2015-12-14,17.12
2015-12-15,16.91
2015-12-16,17.13
2015-12-17,16.86
2015-12-18,17.06
2015-12-19,16.89
2015-12-20,17.07
2015-12-21,17.14
2015-12-22,16.63
2015-12-23,16.73
2015-12-24,17.04
2015-12-25,16.82
2015-12-26,17.08
2015-12-27,16.96
2015-12-28,16.65
2015-12-29,17.18
2015-12-30,17.03
2015-12-31,16.97
2016-01-01,17.43
2016-01-02,16.74
2016-01-03,16.51
2016-01-04,16.61
2016-01-05,16.47
2016-01-06,16.63
2016-01-07,16.99
2016-01-08,16.28
2016-01-09,16.59
2016-01-10,16.59
2016-01-11,16.51
2016-01-12,17.23
2016-01-13,16.93
2016-01-14,16.66
2016-01-15,16.61
2016-01-16,16.79
2016-01-17,16.76
2016-01-18,16.71
2016-01-19,16.93
2016-01-20,16.72
2016-01-21,16.97
2016-01-22,16.81
2016-01-23,17.12
2016-01-24,16.39
2016-01-25,17.31
2016-01-26,16.37
2016-01-27,16.96
2016-01-28,16.96
2016-01-29,17.27
2016-01-30,17.11
2016-01-31,17.63
2016-02-01,16.96
2016-02-02,17.15
2016-02-03,16.36
2016-02-04,16.8
2016-02-05,16.84
2016-02-06,17.05
2016-02-07,16.69
2016-02-08,16.75
2016-02-09,16.92
2016-02-10,17.26
2016-02-11,17.02
2016-02-12,16.99
2016-02-13,16.82
2016-02-14,17.03
2016-02-15,17.2
2016-02-16,17.02
2016-02-17,17.5
2016-02-18,17.1
2016-02-19,16.91
2016-02-20,16.83
2016-02-21,16.81
2016-02-22,16.68
2016-02-23,17
2016-02-24,16.89
2016-02-25,16.51
2016-02-26,16.76
2016-02-27,16.95
2016-02-28,16.8
2016-02-29,17.47
2016-03-01,16.58
2016-03-02,16.58
2016-03-03,16.71
2016-03-04,16.87
2016-03-05,16.32
2016-03-06,17.17
2016-03-07,16.8
2016-03-08,16.76
2016-03-09,16.81
2016-03-10,16.18
2016-03-11,16.68
2016-03-12,16.75
2016-03-13,16.08
2016-03-14,16.53
2016-03-15,14.09
2016-03-16,14.01
2016-03-17,13.82
2016-03-18,14.08
2016-03-19,13.7
2016-03-20,13.9
2016-03-21,14.01
2016-03-22,13.85
2016-03-23,14.04
2016-03-24,13.71
2016-03-25,13.78
2016-03-26,13.72
2016-03-27,13.85
2016-03-28,14.05
2016-03-29,13.98
2016-03-30,13.86
2016-03-31,13.95
2016-04-01,13.75
2016-04-02,14.12
2016-04-03,13.91
2016-04-04,13.8
2016-04-05,13.94
2016-04-06,14.07
2016-04-07,14.16
2016-04-08,13.81
2016-04-09,14.12
2016-04-10,13.82
2016-04-11,14.14
2016-04-12,13.91
2016-04-13,13.95
2016-04-14,13.91
2016-04-15,13.86
2016-04-16,13.93
2016-04-17,13.91
2016-04-18,13.79
2016-04-19,14
2016-04-20,13.88
2016-04-21,14
2016-04-22,13.94
2016-04-23,13.89
2016-04-24,13.95
2016-04-25,13.7
2016-04-26,14.05
2016-04-27,13.87
2016-04-28,13.88
2016-04-29,13.88
2016-04-30,13.84
2016-05-01,14.09
2016-05-02,13.86
2016-05-03,13.78
2016-05-04,14.04
2016-05-05,13.92
2016-05-06,13.91
2016-05-07,13.97
2016-05-08,13.83
2016-05-09,13.96
2016-05-10,13.85
2016-05-11,14.22
2016-05-12,13.69
2016-05-13,13.65
2016-05-14,13.93
2016-05-15,13.94
2016-05-16,14.03
2016-05-17,13.74
2016-05-18,13.85
2016-05-19,13.96
2016-05-20,13.9
2016-05-21,14.02
2016-05-22,13.8
2016-05-23,13.91
2016-05-24,14
2016-05-25,13.91
2016-05-26,13.89
2016-05-27,13.8
2016-05-28,13.85
2016-05-29,13.91
2016-05-30,13.92
2016-05-31,14.14
2016-06-01,13.88
2016-06-02,13.86
2016-06-03,13.81
2016-06-04,13.85
2016-06-05,13.99
2016-06-06,13.69
2016-06-07,13.95
2016-06-08,13.79
2016-06-09,13.75
2016-06-10,14.21
2016-06-11,13.68
2016-06-12,13.86
2016-06-13,13.85
2016-06-14,13.82
2016-06-15,13.91
2016-06-16,13.97
2016-06-17,14.03
2016-06-18,13.76
2016-06-19,13.43
2016-06-20,14.03
2016-06-21,13.97
2016-06-22,13.65
2016-06-23,14.01
2016-06-24,13.84
2016-06-25,13.98
2016-06-26,13.85
2016-06-27,13.89
2016-06-28,13.8
2016-06-29,14.01
2016-06-30,13.97
2016-07-01,13.71
2016-07-02,13.95
2016-07-03,13.91
2016-07-04,13.85
2016-07-05,14.11
2016-07-06,13.75
2016-07-07,13.93
2016-07-08,14.01
2016-07-09,13.71
2016-07-10,13.92
2016-07-11,13.87
2016-07-12,13.99
2016-07-13,13.85
2016-07-14,13.96
2016-07-15,14.04
2016-07-16,13.78
2016-07-17,13.94
2016-07-18,13.69
2016-07-19,14
2016-07-20,14.05
2016-07-21,13.65
2016-07-22,14.08
2016-07-23,13.84
2016-07-24,14.16
2016-07-25,13.94
2016-07-26,14.42
2016-07-27,13.79
2016-07-28,14.21
2016-07-29,14.45
2016-07-30,14.44
2016-07-31,14.33
2016-08-01,14.49
2016-08-02,14.66
2016-08-03,14.44
2016-08-04,13.95
2016-08-05,14.24
2016-08-06,14.46
2016-08-07,14.22
2016-08-08,14.26
2016-08-09,14.1
2016-08-10,14.27
2016-08-11,14.24
2016-08-12,14.37
2016-08-13,14.32
2016-08-14,14.32
2016-08-15,14.19
2016-08-16,14.27
2016-08-17,14.38
2016-08-18,14.16
2016-08-19,14.37
2016-08-20,14.27
2016-08-21,14.2
2016-08-22,14.22
2016-08-23,14.36
2016-08-24,14.28
2016-08-25,14.18
2016-08-26,14.39
2016-08-27,14.22
2016-08-28,14.32
2016-08-29,14.37
2016-08-30,14.34
2016-08-31,14.22
2016-09-01,14.43
2016-09-02,14.18
2016-09-03,14.53
2016-09-04,14.34
2016-09-05,14.22
2016-09-06,14.42
2016-09-07,14.11
2016-09-08,14.37
2016-09-09,14.23
2016-09-10,14.4
2016-09-11,14.18
2016-09-12,14.25
2016-09-13,14.39
2016-09-14,14.18
2016-09-15,14.32
2016-09-16,14.25
2016-09-17,14.3
2016-09-18,15.43
2016-09-19,13.48
2016-09-20,14.01
2016-09-21,14.25
2016-09-22,15.04
2016-09-23,13.87
2016-09-24,14.71
2016-09-25,13.79
2016-09-26,14.79
2016-09-27,14.27
2016-09-28,14.15
2016-09-29,14.11
2016-09-30,14.37
2016-10-01,14.96
2016-10-02,14.04
2016-10-03,13.85
2016-10-04,14.13
2016-10-05,14.69
2016-10-06,14.44
2016-10-07,14.4
2016-10-08,13.73
2016-10-09,14.17
2016-10-10,14.16
2016-10-11,14.2
2016-10-12,14.48
2016-10-13,13.94
2016-10-14,14.13
2016-10-15,14.25
2016-10-16,14.2
2016-10-17,14.39
2016-10-18,14
2016-10-19,14.74
2016-10-20,13.65
2016-10-21,14.11
2016-10-22,14.24
2016-10-23,14.38
2016-10-24,14.15
2016-10-25,14.26
2016-10-26,14.13
2016-10-27,14.29
2016-10-28,14.49
2016-10-29,15.16
2016-10-30,14.18
2016-10-31,14.12
2016-11-01,14.75
2016-11-02,14.46
2016-11-03,14.46
2016-11-04,14.58
2016-11-05,14.33
2016-11-06,14.17
2016-11-07,13.6
2016-11-08,13.97
2016-11-09,14.49
2016-11-10,14.4
2016-11-11,14.37
2016-11-12,14.12
2016-11-13,13.85
2016-11-14,14.13
2016-11-15,14.33
2016-11-16,14.21
2016-11-17,14.61
2016-11-18,13.67
2016-11-19,13.92
2016-11-20,13.87
2016-11-21,14.12
2016-11-22,14.47
2016-11-23,14.5
2016-11-24,14.44
2016-11-25,14.13
2016-11-26,14.56
2016-11-27,14.53
2016-11-28,14.3
2016-11-29,14.43
2016-11-30,14.26
2016-12-01,14.27
2016-12-02,14.22
2016-12-03,14
2016-12-04,14.4
2016-12-05,14.34
2016-12-06,14.09
2016-12-07,14.17
2016-12-08,14.03
2016-12-09,14.22
2016-12-10,14.16
2016-12-11,14.11
2016-12-12,14.35
2016-12-13,14.17
2016-12-14,14.14
2016-12-15,14.33
2016-12-16,14.15
2016-12-17,14.07
2016-12-18,14.13
2016-12-19,14.27
2016-12-20,14.19
2016-12-21,14.19
2016-12-22,14.42
2016-12-23,14.43
2016-12-24,14.33
2016-12-25,14.07
2016-12-26,14.18
2016-12-27,14.38
2016-12-28,14.19
2016-12-29,14.12
2016-12-30,14.17
2016-12-31,14.34
2017-01-01,14.09
2017-01-02,14.21
2017-01-03,14.28
2017-01-04,13.99
2017-01-05,14.1
2017-01-06,14.32
2017-01-07,14.09
2017-01-08,14.13
2017-01-09,14.16
2017-01-10,14.27
2017-01-11,14.24
2017-01-12,14.21
2017-01-13,14.1
2017-01-14,14.18
2017-01-15,14.14
2017-01-16,14.22
2017-01-17,14.36
2017-01-18,14.18
2017-01-19,14
2017-01-20,14.41
2017-01-21,14.27
2017-01-22,14.18
2017-01-23,14.22
2017-01-24,14.23
2017-01-25,14.31
2017-01-26,14.14
2017-01-27,14.36
2017-01-28,14.21
2017-01-29,14.43
2017-01-30,14.1
2017-01-31,14.29
2017-02-01,14.32
2017-02-02,14.2
2017-02-03,14.38
2017-02-04,14.12
2017-02-05,14.16
2017-02-06,14.21
2017-02-07,14.34
2017-02-08,14.18
2017-02-09,14.25
2017-02-10,14.23
2017-02-11,14.22
2017-02-12,14.21
2017-02-13,14.19
2017-02-14,14.29
2017-02-15,14.14
2017-02-16,14.22
2017-02-17,14.33
2017-02-18,14.34
2017-02-19,14.31
2017-02-20,14.31
2017-02-21,14.2
2017-02-22,14.43
2017-02-23,14.29
2017-02-24,14.34
2017-02-25,14.28
2017-02-26,14.12
2017-02-27,14.37
2017-02-28,14.08
2017-03-01,14.45
2017-03-02,14.2
2017-03-03,14.31
2017-03-04,14.37
2017-03-05,14.18
2017-03-06,14.41
2017-03-07,14.43
2017-03-08,14.29
2017-03-09,14.54
2017-03-10,14.43
2017-03-11,14.35
2017-03-12,14.53
2017-03-13,14.25
2017-03-14,14.43
2017-03-15,14.37
2017-03-16,14.37
2017-03-17,14.22
2017-03-18,14.36
2017-03-19,14.48
2017-03-20,14.15
2017-03-21,14.46
2017-03-22,14.31
2017-03-23,14.55
2017-03-24,14.54
2017-03-25,14.44
2017-03-26,14.37
2017-03-27,14.45
2017-03-28,14.61
2017-03-29,14.36
2017-03-30,14.57
2017-03-31,14.39
2017-04-01,14.51
2017-04-02,14.7
2017-04-03,14.4
2017-04-04,14.49
2017-04-05,14.41
2017-04-06,14.65
2017-04-07,14.47
2017-04-08,14.52
2017-04-09,14.9
2017-04-10,14.97
